t,cost_push_shock,output_gap_discretion,inflation_discretion,price_level_discretion,output_gap_commitment,inflation_commitment,price_level_commitment
0,1,-6.16649537512847,1.02774922918808,1.02774922918808,-3.90083752556942,0.650139587594903,0.650139587594903
1,0.8,-4.93319630010278,0.822199383350462,1.84994861253854,-4.79475493226641,0.148986234449498,0.799125822044401
2,0.64,-3.94655704008222,0.65775950668037,2.50770811921891,-4.55425486143892,-0.0400833451379139,0.759042476906487
3,0.512,-3.15724563206578,0.526207605344296,3.03391572456321,-3.95173455656346,-0.100420050812577,0.65862242609391
4,0.4096,-2.52579650565262,0.420966084275437,3.45488180883864,-3.29371095140749,-0.109670600859329,0.548951825234582
5,0.32768,-2.0206372045221,0.33677286742035,3.79165467625899,-2.69175668137795,-0.100325711671589,0.448626113562992
6,0.262144,-1.61650976361768,0.26941829393628,4.06107297019527,-2.17777647049371,-0.0856633684807071,0.362962745082285
7,0.2097152,-1.29320781089414,0.215534635149024,4.2766076053443,-1.75268029781033,-0.0708493621138977,0.292113382968388
8,0.16777216,-1.03456624871531,0.172427708119219,4.44903531346352,-1.40663287876135,-0.0576745698414962,0.234438813126891
9,0.134217728,-0.827652998972251,0.137942166495375,4.58697747995889,-1.12723264967393,-0.0465667048479032,0.187872108278988
10,0.1073741824,-0.662122399177801,0.1103537331963,4.69733121315519,-0.902612831404371,-0.0374366363782598,0.150435471900728
11,0.0858993459200001,-0.529697919342241,0.0882829865570401,4.78561419971223,-0.722445057015264,-0.0300279623981844,0.120407509502544
12,0.068719476736,-0.423758335473793,0.0706263892456321,4.85624058895786,-0.578108308235032,-0.0240561247967054,0.0963513847058386
